homeTeam,awayTeam,homeScore,awayScore
WHU,CHE,1,8
WOL,CRY,4,7
BUR,AVL,4,6
AVL,WOL,1,2
CRY,WHU,3,6
CHE,NU,8,2
LEI,LU,2,5
TOT,MCI,5,4
NOR,MU,4,3
WAT,BRE,6,2
ARS,SOU,5,5
LIV,EVE,7,4
BRE,BUR,4,6
BRE,LIV,5,7
EVE,ARS,5,2
SOU,WAT,2,4
BHA,NOR,4,6
MU,TOT,8,2
MCI,LEI,2,5
LU,CHE,3,5
NU,CRY,7,2
AVL,WOL,3,1
WHU,AVL,6,3
BUR,WOL,2,9
WOL,WHU,7,3
AVL,NU,6,5
CRY,LU,6,3
CHE,MCI,3,6
LEI,MU,4,5
TOT,BHA,2,0
NOR,SOU,3,2
WAT,EVE,7,7
ARS,BRE,2,4
LIV,BUR,7,4
LIV,ARS,7,2
BRE,WAT,6,3
EVE,NU,4,3
SOU,TOT,3,1
BHA,LEI,2,5
MU,CHE,5,1
MCI,CRY,4,1
LU,AVL,1,7
NU,WOL,3,3
BUR,WHU,4,5
MU,WHU,3,3
WAT,CHE,3,5
BRE,CRY,5,3
BUR,SOU,5,7
EVE,ARS,4,5
LU,BHA,6,2
SOU,MCI,4,3
ARS,LU,5,2
BHA,SOU,4,4
MCI,CRY,5,4
LU,BHA,6,2
MCI,LU,6,7
LU,MCI,5,8
MCI,LU,5,4
MCI,LU,7,2
LU,MCI,2,7
MCI,LU,5,6
LU,MCI,5,7
MCI,LU,4,2
MCI,LU,3,2
CHE,BRE,1,4
BRE,CHE,6,6
CHE,BRE,8,4
CHE,BRE,4,2
BRE,CHE,3,3
CHE,BRE,6,5
BRE,CHE,3,5
CHE,BRE,5,2
EVE,LU,3,2
LU,EVE,1,6
EVE,LU,5,6
EVE,LU,7,5
LU,EVE,5,2
LU,EVE,6,4
SOU,WHU,5,5
WHU,CRY,5,3
WHU,WAT,3,8
CRY,WHU,3,6
SOU,WHU,4,3
WHU,WAT,5,5
WHU,CRY,4,5
WHU,SOU,3,4
WHU,SOU,4,5
WHU,CRY,2,5
WAT,WHU,4,5
WHU,WAT,3,6
SOU,WHU,4,7
CRY,WHU,2,2
WAT,WHU,4,1
WHU,SOU,5,3
WHU,WAT,2,5
WHU,CRY,5,7
SOU,WHU,7,3
WAT,WHU,4,4
CRY,WHU,5,4
WHU,WAT,4,2
CRY,WHU,6,4
WHU,SOU,2,7
AVL,WHU,10,2
AVL,WHU,8,3
AVL,WHU,6,2
WHU,AVL,1,6
WHU,AVL,1,7
WHU,AVL,0,9
CHE,WHU,8,1
NU,SOU,7,6
LEI,BHA,1,5
EVE,CHE,3,7
WAT,CRY,4,6
MU,CHE,3,1
TOT,NU,5,2
ARS,CHE,4,3
ARS,LU,3,4
AVL,ARS,2,3
ARS,BHA,5,2
EVE,ARS,6,4
ARS,MU,7,4
BRE,ARS,5,4
ARS,SOU,3,4
AVL,ARS,4,6
ARS,CRY,4,3
WOL,ARS,4,4
LU,ARS,3,3
ARS,AVL,3,2
BHA,ARS,5,3
ARS,EVE,3,5
MU,ARS,6,4
ARS,BRE,8,4
SOU,ARS,4,5
MCI,ARS,5,6
ARS,BUR,6,1
WOL,ARS,1,6
ARS,LEI,7,3
WHU,ARS,3,7
ARS,NU,3,4
NOR,ARS,3,5
ARS,CRY,10,2
ARS,BUR,4,3
BUR,ARS,4,5
ARS,BUR,11,2
BUR,ARS,1,10
BUR,ARS,3,7
ARS,BUR,9,3
ARS,BUR,2,3
MCI,ARS,4,3
ARS,BRE,7,4
CHE,ARS,2,5
ARS,CHE,5,6
ARS,CHE,5,5
CHE,ARS,2,3
ARS,CHE,3,3
ARS,CHE,5,3
LIV,ARS,4,1
LIV,ARS,7,2
ARS,LIV,5,3
LIV,ARS,3,5
ARS,LIV,4,5
LIV,ARS,6,5
ARS,LU,5,2
ARS,LU,4,7
ARS,LU,5,4
LU,ARS,7,3
LU,ARS,2,5
LU,ARS,4,5
ARS,MU,3,6
ARS,MU,7,6
ARS,MU,3,5
MU,ARS,6,5
MU,ARS,4,5
ARS,MU,3,0
LIV,WHU,6,4
LU,MCI,4,7
MCI,SOU,5,7
BHA,LU,5,4
ARS,EVE,4,1
ARS,BHA,7,4
SOU,BUR,4,0
CRY,BRE,5,4
CHE,WAT,5,3
WHU,MU,4,3
NU,LIV,5,5
NOR,TOT,3,7
WOL,AVL,4,9
EVE,LEI,6,8
LEI,WOL,4,5
AVL,NOR,4,7
BRE,SOU,3,5
BUR,LU,3,7
MCI,ARS,4,3
BHA,EVE,7,4
BHA,MCI,3,7
LU,BRE,3,3
SOU,WAT,6,6
CRY,MU,4,3
CHE,LIV,1,4
WHU,TOT,4,3
NU,AVL,5,3
NOR,LEI,4,5
EVE,WOL,6,2
NOR,WOL,6,3
NU,LEI,2,6
WHU,AVL,4,5
CHE,TOT,2,4
CRY,LIV,4,5
SOU,MU,3,6
LU,WAT,3,4
BHA,BUR,2,6
MCI,EVE,2,6
BUR,MCI,2,3
BRE,BHA,3,2
WAT,ARS,2,7
MU,LU,4,4
LIV,SOU,5,4
TOT,CRY,3,6
AVL,CHE,4,6
LEI,WHU,3,4
WOL,NU,3,4
EVE,NOR,2,5
NU,NOR,6,4
WHU,WOL,2,6
BRE,CHE,4,5
WAT,WHU,9,3
MU,NU,1,6
LIV,NOR,7,3
AVL,LEI,6,1
TOT,WOL,6,3
WOL,LIV,3,5
NOR,MU,5,4
CHE,BUR,4,6
SOU,BHA,6,5
LU,ARS,3,4
EVE,TOT,6,5
EVE,AVL,6,1
AVL,LEI,6,1
LEI,TOT,5,5
NU,WAT,7,4
WHU,BRE,2,7
CRY,MCI,4,10
LU,ARS,3,4
LU,EVE,5,4
ARS,SOU,3,6
BHA,CRY,3,6
MCI,CHE,5,3
BUR,WHU,5,3
BRE,NU,3,4
WAT,NOR,6,3
MU,WOL,4,4
LIV,LEI,5,2
TOT,AVL,4,8
LEI,MU,2,5
AVL,LIV,0,8
LU,BHA,7,5
NU,BUR,7,3
CHE,BHA,7,4
CRY,TOT,2,3
SOU,LIV,3,2
ARS,AVL,4,6
LU,MU,7,6
ARS,WAT,2,6
BHA,BRE,6,5
MCI,BUR,8,4
EVE,MCI,3,5
BUR,BHA,2,7
BRE,ARS,8,4
WAT,LU,6,2
MU,SOU,5,3
LIV,CRY,5,2
TOT,CHE,7,4
AVL,WHU,6,4
LEI,NU,4,3
WOL,NOR,4,4
WAT,CRY,6,6
NOR,WOL,4,5
LU,AVL,4,5
SOU,BUR,4,3
LIV,BHA,3,2
LEI,WHU,5,5
NU,MCI,7,6
EVE,ARS,6,7
MU,TOT,4,3
CRY,TOT,5,1
ARS,MU,5,2
MCI,EVE,10,3
WHU,NU,6,3
BHA,LEI,3,5
BUR,LIV,2,6
AVL,SOU,4,4
CHE,LU,7,5
WOL,BRE,4,3
WAT,NOR,5,6
NOR,CRY,5,3
BRE,WAT,2,1
LU,WOL,2,6
SOU,CHE,2,4
LIV,AVL,3,2
LEI,BUR,5,4
NU,BHA,4,4
EVE,WHU,7,8
MU,MCI,5,5
TOT,ARS,3,2
CRY,ARS,3,8
MCI,TOT,4,3
WHU,MU,3,5
BHA,EVE,4,2
BUR,NU,3,2
AVL,LEI,6,1
CHE,LIV,6,5
WOL,SOU,5,3
WAT,LU,4,5
NOR,BRE,7,4
LU,NOR,2,6
BRE,CRY,6,1
SOU,WAT,3,5
LIV,WOL,4,4
LEI,CHE,7,3
NU,AVL,4,3
EVE,BUR,5,6
MU,BHA,7,3
TOT,WHU,4,2
ARS,MCI,3,6
CRY,MCI,2,4
WHU,ARS,5,6
BHA,TOT,2,5
BUR,MU,3,8
AVL,EVE,4,5
CHE,NU,7,8
WOL,LEI,5,3
LIV,NOR,3,6
SOU,BRE,4,5
LU,CRY,5,3
BRE,LU,4,4
NOR,SOU,3,3
WAT,LIV,3,7
ARS,BHA,11,1
TOT,BUR,6,4
MU,AVL,3,6
EVE,CHE,6,4
NU,WOL,8,4
LEI,WAT,3,4
MCI,WHU,3,4
CRY,WHU,4,7
BHA,MCI,5,4
BUR,ARS,4,8
AVL,TOT,4,7
CHE,MU,5,5
WOL,EVE,1,5
WAT,NU,1,3
NOR,LEI,3,7
BRE,LIV,4,5
LU,SOU,6,4
SOU,CRY,6,3
LIV,LU,5,1
LEI,BRE,3,4
NU,NOR,3,5
EVE,WAT,3,5
MU,WOL,2,4
TOT,CHE,7,2
ARS,AVL,2,3
MCI,BUR,5,6
WHU,BHA,2,3
CRY,BHA,2,5
BUR,WHU,5,4
AVL,MCI,5,8
CHE,ARS,5,8
WOL,TOT,4,2
WAT,MU,2,5
NOR,EVE,6,3
BRE,NU,3,6
LU,LEI,3,4
SOU,LIV,5,3
LIV,CRY,4,6
LEI,SOU,4,4
NU,LU,6,4
EVE,BRE,4,4
MU,NOR,5,8
TOT,WAT,4,0
ARS,WOL,3,1
MCI,CHE,6,2
WHU,AVL,2,2
BHA,BUR,4,3
CRY,BUR,5,5
AVL,BHA,4,3
CHE,WHU,7,6
WOL,MCI,3,3
WAT,ARS,3,5
NOR,TOT,2,4
BRE,MU,4,9
LU,EVE,2,4
EVE,WHU,5,3
ARS,AVL,6,5
NOR,ARS,3,5
SOU,NU,6,5
LIV,LEI,5,1
LEI,CRY,4,6
NU,LIV,5,3
EVE,SOU,9,4
MU,LU,7,5
TOT,BRE,4,4
ARS,NOR,5,4
MCI,WAT,5,7
WHU,WOL,4,4
BHA,CHE,7,4
BUR,AVL,3,3
CRY,AVL,3,5
